,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,train_set,test_set,model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.83698,0.6856677047749895,0.248335577230064,0.13390585780143738,,imagenet,imagenet,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79,0.8295782977591544,0.30119372349869405,0.2858237624168396,,imagenet,imagenet,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7704,0.9149001232894254,0.3231749422350018,0.25848594307899475,,imagenet,imagenet,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79098,0.8269692613840279,0.3001970342209814,0.2822835147380829,,imagenet,imagenet,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.56522,1.910299075748398,0.5589174810989186,0.5300764235375724,,imagenet,imagenet,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73524,1.1794072966927869,0.37735080177407676,0.24379058324684214,,imagenet,imagenet,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.762,0.9934998123405372,0.3365444313383032,0.24773103592544532,,imagenet,imagenet,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.74434,1.028076896013807,0.3557642717086147,0.31594728725559057,,imagenet,imagenet,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77138,0.9436757154751682,0.325483857829222,0.23784438076967807,,imagenet,imagenet,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.756,0.9977919677705681,0.34255863468942377,0.2594932512095306,,imagenet,imagenet,Neural Network
10,densenet201,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet201.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76896,0.9269754574885065,0.3259507102755934,0.2740586779288327,,imagenet,imagenet,Neural Network
11,dpn131,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_dpn131.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79432,0.8470373156678181,0.29646510049322017,0.20419428091888497,,imagenet,imagenet,Neural Network
12,dpn68,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_dpn68.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.75868,0.9617417443614281,0.335765360533317,0.289563020441569,,imagenet,imagenet,Neural Network
13,dpn98,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_dpn98.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79224,0.8522939482056571,0.2983208965294806,0.2097749291783451,,imagenet,imagenet,Neural Network
14,efficientnet-b0,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b0.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.76528,1.0240539346422446,0.3385900523072686,0.44257882237434387,,imagenet,imagenet,Neural Network
15,efficientnet-b0-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b0-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7684,1.0017287744623025,0.33644334000449516,0.4558711647987366,,imagenet,imagenet,Neural Network
16,efficientnet-b1,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b1.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77908,0.9724234964138712,0.3183468266304301,0.42576009035110474,,imagenet,imagenet,Neural Network
17,efficientnet-b1-autoaug,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_efficientnet-b1-autoaug.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.78716,0.9206902517985075,0.307368568012703,0.42200860381126404,,imagenet,imagenet,Neural Network
