Unnamed: 0,models,filepaths,labelpaths,acc,nll,brier,qunc,hyperparameters,train_set,test_set,model_family,shift_Unnamed: 0,shift_filepaths,shift_labelpaths,shift_acc,shift_nll,shift_brier,shift_qunc,shift_set,shift_model_family
0,FixPNASNet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.83698,0.6856677047749895,0.248335577230064,0.1339058578014373,,imagenet,imagenet,Neural Network,0,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_FixPNASNet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.7336,1.2790053409370128,0.4030896346494674,0.1926206350326538,imagenetv2mf,Neural Network
1,FixResNet50,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79,0.8295782977591544,0.301193723498694,0.2858237624168396,,imagenet,imagenet,Neural Network,1,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_FixResNet50.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.6673,1.43703885435265,0.4547792786868104,0.3861432671546936,imagenetv2mf,Neural Network
2,FixResNet50_no_adaptation,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.7704,0.9149001232894254,0.3231749422350018,0.2584859430789947,,imagenet,imagenet,Neural Network,2,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_FixResNet50_no_adaptation.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.6503,1.5821637702208855,0.4796625724279553,0.3504094779491424,imagenetv2mf,Neural Network
3,FixResNet50_v2,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.79098,0.8269692613840279,0.3001970342209814,0.2822835147380829,,imagenet,imagenet,Neural Network,3,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_FixResNet50_v2.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.669,1.4346429119598678,0.4534834650428019,0.3823173940181732,imagenetv2mf,Neural Network
4,alexnet,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.56522,1.910299075748398,0.5589174810989186,0.5300764235375724,,imagenet,imagenet,Neural Network,4,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_alexnet.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.4343,2.7264349575823608,0.700655867534585,0.617688393424201,imagenetv2mf,Neural Network
5,bninception,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.73524,1.1794072966927869,0.3773508017740767,0.2437905832468421,,imagenet,imagenet,Neural Network,5,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_bninception.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.6199,1.9369369500053824,0.5351660424385817,0.3245627851424336,imagenetv2mf,Neural Network
6,cafferesnet101,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.762,0.9934998123405372,0.3365444313383032,0.2477310359254453,,imagenet,imagenet,Neural Network,6,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_cafferesnet101.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.6414,1.6877979984521436,0.4941975784492746,0.3376793790088362,imagenetv2mf,Neural Network
7,densenet121,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.74434,1.028076896013807,0.3557642717086147,0.3159472872555905,,imagenet,imagenet,Neural Network,7,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_densenet121.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.6215,1.6828726300057868,0.5068498531429483,0.4076507792779711,imagenetv2mf,Neural Network
8,densenet161,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.77138,0.9436757154751682,0.325483857829222,0.237844380769678,,imagenet,imagenet,Neural Network,8,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_densenet161.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.6529,1.610269052010057,0.4812922146002,0.3219423328070589,imagenetv2mf,Neural Network
9,densenet169,/datahd3a/imagenet_testbest_outputs/logits/val/val_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/val.npy,0.756,0.997791967770568,0.3425586346894237,0.2594932512095306,,imagenet,imagenet,Neural Network,9,/datahd3a/imagenet_testbest_outputs/logits/imagenetv2-matched-frequency-format-val/imagenetv2-matched-frequency-format-val_|_densenet169.pickle,/data/Projects/linear_ensembles/interp_ensembles/data/imagenet_targets/imagenetv2mf.npy,0.6355,1.6975248620855852,0.5010649609346883,0.34587756166493,imagenetv2mf,Neural Network
